dish_id,dish_name,ingredient_id,ingredient_name,quantity,unit,costo_unitario,costo_ingrediente
PRI-005,Spaghetti alle vongole,PAS-01,Pasta secca,0.1,kg,2.8,0.28
PRI-005,Spaghetti alle vongole,PES-02,Vongole,0.3,kg,16,4.80
PRI-005,Spaghetti alle vongole,OLI-01,Olio EVO,0.03,lt,5,0.15
PRI-006,Risotto alla milanese,RIS-01,Riso Carnaroli,0.08,kg,4.5,0.36
PRI-006,Risotto alla milanese,FOR-02,Parmigiano Reggiano,0.03,kg,16,0.48
PRI-006,Risotto alla milanese,ZAF-01,Zafferano,0.5,gr,0.15,0.07
PRI-007,Risotto ai funghi porcini,RIS-01,Riso Carnaroli,0.08,kg,4.5,0.36
PRI-007,Risotto ai funghi porcini,FUN-02,Funghi porcini,0.15,kg,28,4.20
PRI-007,Risotto ai funghi porcini,FOR-02,Parmigiano Reggiano,0.03,kg,16,0.48
SEC-001,Tagliata di manzo,CAR-01,Carne manzo (tagliata),0.35,kg,18.5,6.47
SEC-001,Tagliata di manzo,OLI-01,Olio EVO,0.02,lt,5,0.10
SEC-001,Tagliata di manzo,VER-05,Insalata,0.05,kg,2.5,0.13
SEC-002,Ossobuco alla milanese,CAR-03,Vitello (ossobuco),0.4,kg,14,5.60
SEC-002,Ossobuco alla milanese,VER-01,Verdure miste,0.08,kg,3.5,0.28
SEC-002,Ossobuco alla milanese,OLI-01,Olio EVO,0.025,lt,5,0.13
SEC-003,Cotoletta alla milanese,CAR-03,Vitello (ossobuco),0.25,kg,14,3.50
SEC-003,Cotoletta alla milanese,UOV-01,Uova,0.05,kg,3.2,0.16
SEC-003,Cotoletta alla milanese,PAN-01,Pangrattato,0.05,kg,2,0.10
SEC-004,Branzino al forno,PES-01,Branzino,0.35,kg,24,8.40
SEC-004,Branzino al forno,OLI-01,Olio EVO,0.03,lt,5,0.15
SEC-004,Branzino al forno,VER-04,Patate,0.15,kg,1.5,0.22
SEC-005,Pollo arrosto,CAR-04,Pollo,0.35,kg,6.5,2.27
SEC-005,Pollo arrosto,VER-04,Patate,0.2,kg,1.5,0.30
SEC-005,Pollo arrosto,OLI-01,Olio EVO,0.02,lt,5,0.10
CON-001,Insalata mista,VER-05,Insalata,0.2,kg,2.5,0.50
CON-001,Insalata mista,OLI-01,Olio EVO,0.015,lt,5,0.07
CON-002,Patate al forno,VER-04,Patate,0.25,kg,1.5,0.38
CON-002,Patate al forno,OLI-01,Olio EVO,0.02,lt,5,0.10
CON-003,Verdure grigliate,VER-02,Zucchine,0.1,kg,2.8,0.28
CON-003,Verdure grigliate,VER-03,Melanzane,0.1,kg,3.2,0.32
CON-003,Verdure grigliate,OLI-01,Olio EVO,0.025,lt,5,0.13
DOL-001,Tiramisù,DOL-01,Mascarpone,0.1,kg,8,0.80
DOL-001,Tiramisù,DOL-02,Savoiardi,0.05,kg,6.5,0.33
DOL-001,Tiramisù,DOL-03,Caffè,0.02,kg,12,0.24
DOL-001,Tiramisù,UOV-01,Uova,0.03,kg,3.2,0.10
DOL-002,Panna cotta,DOL-04,Panna,0.15,lt,4.5,0.67
DOL-003,Cheesecake,DOL-01,Mascarpone,0.12,kg,8,0.96
DOL-003,Cheesecake,DOL-02,Savoiardi,0.04,kg,6.5,0.26
