date,store_id,item_id,ingredient_name,waste_type,waste_qty,waste_value
2024-01-05,MIL-03,CAR-01,Carne manzo (kg),Scaduto,0.66,12.21
2024-01-05,MIL-03,SAL-01,Salame piccante (kg),Sovraproduzione,0.43,7.74
2024-01-05,MIL-03,VER-01,Verdure miste (kg),Deteriorato,1.13,3.95
2024-01-05,MIL-04,OLI-01,Olio EVO (lt),Deteriorato,0.41,4.92
2024-01-05,MIL-05,PES-01,Pesce branzino (kg),Errore Comanda,1.11,26.64
2024-01-05,MIL-06,SAL-01,Salame piccante (kg),Sfrido,1.57,28.26
2024-01-05,MIL-06,FUN-01,Funghi porcini (kg),Errore Comanda,1.07,29.96
2024-01-05,MIL-06,MOZZ-01,Mozzarella (kg),Sovraproduzione,0.37,3.15
2024-01-05,MIL-07,FAR-01,Farina tipo 00 (kg),Scaduto,0.86,0.69
2024-01-05,MIL-07,FAR-01,Farina tipo 00 (kg),Deteriorato,1.21,0.97
2024-01-05,MIL-08,PRO-01,Prosciutto crudo (kg),Scaduto,1.91,42.02
2024-01-05,MIL-09,SAL-01,Salame piccante (kg),Deteriorato,1.01,18.18
2024-01-05,MIL-10,OLI-01,Olio EVO (lt),Sfrido,0.22,2.64
2024-01-05,MIL-10,MOZZ-01,Mozzarella (kg),Deteriorato,0.97,8.24
2024-01-06,MIL-01,TOM-01,Pomodoro San Marzano (kg),Scaduto,1.79,5.73
2024-01-06,MIL-02,PES-01,Pesce branzino (kg),Sfrido,1.99,47.76
2024-01-06,MIL-02,FUN-01,Funghi porcini (kg),Deteriorato,1.67,46.76
2024-01-06,MIL-02,OLI-01,Olio EVO (lt),Errore Comanda,1.45,17.40
2024-01-06,MIL-02,MOZZ-01,Mozzarella (kg),Errore Comanda,1.49,12.66
2024-01-06,MIL-03,FUN-01,Funghi porcini (kg),Sovraproduzione,1.98,55.44
2024-01-06,MIL-03,OLI-01,Olio EVO (lt),Sfrido,0.52,6.24
2024-01-06,MIL-04,SAL-01,Salame piccante (kg),Sfrido,1.63,29.34
2024-01-06,MIL-04,PES-01,Pesce branzino (kg),Scaduto,0.74,17.76
2024-01-06,MIL-05,VER-01,Verdure miste (kg),Deteriorato,0.52,1.82
2024-01-06,MIL-05,SAL-01,Salame piccante (kg),Sovraproduzione,1.95,35.10
2024-01-06,MIL-05,SAL-01,Salame piccante (kg),Scaduto,0.51,9.18
2024-01-06,MIL-05,CAR-01,Carne manzo (kg),Sfrido,0.71,13.13
2024-01-06,MIL-06,PRO-01,Prosciutto crudo (kg),Sfrido,1.66,36.52
2024-01-06,MIL-07,FUN-01,Funghi porcini (kg),Sfrido,1.70,47.60
2024-01-06,MIL-08,OLI-01,Olio EVO (lt),Errore Comanda,1.16,13.92
2024-01-06,MIL-09,CAR-01,Carne manzo (kg),Sovraproduzione,0.29,5.36
2024-01-06,MIL-10,PRO-01,Prosciutto crudo (kg),Sovraproduzione,0.39,8.58
2024-01-06,MIL-10,FUN-01,Funghi porcini (kg),Sfrido,0.20,5.60
2024-01-06,MIL-10,TOM-01,Pomodoro San Marzano (kg),Scaduto,1.81,5.79
2024-01-06,MIL-10,PRO-01,Prosciutto crudo (kg),Scaduto,0.81,17.82
2024-01-07,MIL-01,SAL-01,Salame piccante (kg),Sfrido,1.62,29.16
2024-01-07,MIL-02,CAR-01,Carne manzo (kg),Deteriorato,1.34,24.79
2024-01-07,MIL-02,PES-01,Pesce branzino (kg),Sovraproduzione,1.02,24.48
2024-01-07,MIL-02,PES-01,Pesce branzino (kg),Deteriorato,0.81,19.44
2024-01-07,MIL-03,MOZZ-01,Mozzarella (kg),Deteriorato,2.08,17.68
2024-01-07,MIL-04,PRO-01,Prosciutto crudo (kg),Errore Comanda,0.16,3.52
2024-01-07,MIL-04,FAR-01,Farina tipo 00 (kg),Errore Comanda,0.49,0.39
2024-01-07,MIL-04,OLI-01,Olio EVO (lt),Deteriorato,1.98,23.76
2024-01-07,MIL-04,MOZZ-01,Mozzarella (kg),Deteriorato,1.43,12.15
2024-01-07,MIL-05,CAR-01,Carne manzo (kg),Deteriorato,1.29,23.87
2024-01-07,MIL-05,OLI-01,Olio EVO (lt),Scaduto,1.16,13.92
2024-01-07,MIL-05,OLI-01,Olio EVO (lt),Deteriorato,0.64,7.68
2024-01-07,MIL-06,OLI-01,Olio EVO (lt),Scaduto,0.31,3.72
2024-01-07,MIL-07,PES-01,Pesce branzino (kg),Deteriorato,1.52,36.48
2024-01-07,MIL-07,SAL-01,Salame piccante (kg),Sfrido,1.47,26.46
2024-01-07,MIL-07,PRO-01,Prosciutto crudo (kg),Scaduto,2.00,44.00
2024-01-07,MIL-07,OLI-01,Olio EVO (lt),Deteriorato,1.95,23.40
2024-01-07,MIL-08,TOM-01,Pomodoro San Marzano (kg),Scaduto,1.52,4.86
2024-01-07,MIL-08,FUN-01,Funghi porcini (kg),Deteriorato,0.83,23.24
2024-01-07,MIL-08,FAR-01,Farina tipo 00 (kg),Sovraproduzione,0.41,0.33
2024-01-07,MIL-09,PES-01,Pesce branzino (kg),Scaduto,0.79,18.96
2024-01-07,MIL-09,SAL-01,Salame piccante (kg),Sovraproduzione,0.99,17.82
2024-01-07,MIL-09,MOZZ-01,Mozzarella (kg),Sfrido,0.40,3.40
2024-01-07,MIL-10,PES-01,Pesce branzino (kg),Sfrido,2.07,49.68
2024-01-08,MIL-01,PRO-01,Prosciutto crudo (kg),Sfrido,1.12,24.64
2024-01-08,MIL-01,PES-01,Pesce branzino (kg),Sovraproduzione,1.84,44.16
2024-01-08,MIL-01,CAR-01,Carne manzo (kg),Deteriorato,1.78,32.93
2024-01-08,MIL-01,OLI-01,Olio EVO (lt),Scaduto,1.02,12.24
2024-01-08,MIL-02,CAR-01,Carne manzo (kg),Errore Comanda,1.73,32.01
2024-01-08,MIL-02,FAR-01,Farina tipo 00 (kg),Deteriorato,1.45,1.16
2024-01-08,MIL-02,TOM-01,Pomodoro San Marzano (kg),Errore Comanda,0.57,1.82
2024-01-08,MIL-03,SAL-01,Salame piccante (kg),Sfrido,0.87,15.66
2024-01-08,MIL-03,OLI-01,Olio EVO (lt),Sovraproduzione,1.50,18.00
2024-01-08,MIL-03,FUN-01,Funghi porcini (kg),Deteriorato,1.55,43.40
2024-01-08,MIL-03,FAR-01,Farina tipo 00 (kg),Sovraproduzione,0.45,0.36
2024-01-08,MIL-04,FAR-01,Farina tipo 00 (kg),Sfrido,2.10,1.68
2024-01-08,MIL-05,PES-01,Pesce branzino (kg),Scaduto,1.58,37.92
2024-01-08,MIL-06,FUN-01,Funghi porcini (kg),Sfrido,1.46,40.88
2024-01-08,MIL-06,MOZZ-01,Mozzarella (kg),Sfrido,0.17,1.45
2024-01-08,MIL-06,FUN-01,Funghi porcini (kg),Deteriorato,1.00,28.00
2024-01-08,MIL-06,OLI-01,Olio EVO (lt),Sfrido,1.80,21.60
2024-01-08,MIL-07,MOZZ-01,Mozzarella (kg),Deteriorato,0.71,6.04
2024-01-08,MIL-07,FUN-01,Funghi porcini (kg),Scaduto,0.67,18.76
2024-01-08,MIL-07,TOM-01,Pomodoro San Marzano (kg),Scaduto,1.16,3.71
2024-01-08,MIL-08,SAL-01,Salame piccante (kg),Scaduto,0.11,1.98
2024-01-08,MIL-08,CAR-01,Carne manzo (kg),Errore Comanda,1.11,20.54
2024-01-08,MIL-09,FUN-01,Funghi porcini (kg),Scaduto,0.41,11.48
2024-01-08,MIL-09,OLI-01,Olio EVO (lt),Deteriorato,1.36,16.32
2024-01-08,MIL-09,FAR-01,Farina tipo 00 (kg),Sovraproduzione,1.07,0.86
2024-01-08,MIL-09,OLI-01,Olio EVO (lt),Sfrido,1.69,20.28
2024-01-08,MIL-10,TOM-01,Pomodoro San Marzano (kg),Errore Comanda,0.19,0.61
2024-01-08,MIL-10,TOM-01,Pomodoro San Marzano (kg),Sovraproduzione,1.81,5.79
2024-01-08,MIL-10,OLI-01,Olio EVO (lt),Sfrido,0.15,1.80
2024-01-08,MIL-10,MOZZ-01,Mozzarella (kg),Sfrido,0.31,2.63
2024-01-09,MIL-01,FAR-01,Farina tipo 00 (kg),Sfrido,0.46,0.37
2024-01-09,MIL-02,TOM-01,Pomodoro San Marzano (kg),Sfrido,1.38,4.42
2024-01-09,MIL-02,FAR-01,Farina tipo 00 (kg),Errore Comanda,1.35,1.08
2024-01-09,MIL-02,TOM-01,Pomodoro San Marzano (kg),Deteriorato,2.04,6.53
2024-01-09,MIL-02,CAR-01,Carne manzo (kg),Sovraproduzione,0.53,9.80
2024-01-09,MIL-03,TOM-01,Pomodoro San Marzano (kg),Sfrido,1.21,3.87
2024-01-09,MIL-03,OLI-01,Olio EVO (lt),Sfrido,1.34,16.08
2024-01-09,MIL-03,FUN-01,Funghi porcini (kg),Deteriorato,0.86,24.08
2024-01-09,MIL-03,PES-01,Pesce branzino (kg),Sfrido,1.63,39.12
2024-01-09,MIL-04,FUN-01,Funghi porcini (kg),Sfrido,1.65,46.20
2024-01-09,MIL-04,FUN-01,Funghi porcini (kg),Errore Comanda,1.54,43.12
2024-01-09,MIL-04,MOZZ-01,Mozzarella (kg),Sfrido,0.36,3.06
2024-01-09,MIL-04,CAR-01,Carne manzo (kg),Deteriorato,0.38,7.03
2024-01-09,MIL-05,TOM-01,Pomodoro San Marzano (kg),Scaduto,2.04,6.53
2024-01-09,MIL-05,FAR-01,Farina tipo 00 (kg),Sfrido,0.38,0.30
2024-01-09,MIL-05,OLI-01,Olio EVO (lt),Deteriorato,0.32,3.84
2024-01-09,MIL-05,CAR-01,Carne manzo (kg),Scaduto,1.67,30.89
2024-01-09,MIL-06,MOZZ-01,Mozzarella (kg),Sfrido,1.62,13.77
2024-01-09,MIL-06,OLI-01,Olio EVO (lt),Scaduto,0.47,5.64
2024-01-09,MIL-06,TOM-01,Pomodoro San Marzano (kg),Scaduto,1.67,5.34
2024-01-09,MIL-07,CAR-01,Carne manzo (kg),Sfrido,0.55,10.18
2024-01-09,MIL-08,FUN-01,Funghi porcini (kg),Errore Comanda,2.08,58.24
2024-01-09,MIL-08,FAR-01,Farina tipo 00 (kg),Scaduto,1.27,1.02
2024-01-09,MIL-09,FAR-01,Farina tipo 00 (kg),Deteriorato,1.80,1.44
2024-01-09,MIL-09,OLI-01,Olio EVO (lt),Sfrido,1.26,15.12
2024-01-09,MIL-10,VER-01,Verdure miste (kg),Sfrido,1.51,5.29
2024-01-09,MIL-10,SAL-01,Salame piccante (kg),Sovraproduzione,2.03,36.54
2024-01-09,MIL-10,FAR-01,Farina tipo 00 (kg),Errore Comanda,1.12,0.90
2024-01-09,MIL-10,FUN-01,Funghi porcini (kg),Sovraproduzione,1.73,48.44
2024-01-10,MIL-01,FAR-01,Farina tipo 00 (kg),Sovraproduzione,0.95,0.76
2024-01-10,MIL-01,MOZZ-01,Mozzarella (kg),Deteriorato,0.62,5.27
2024-01-10,MIL-01,PES-01,Pesce branzino (kg),Sovraproduzione,1.12,26.88
2024-01-10,MIL-01,OLI-01,Olio EVO (lt),Scaduto,1.35,16.20
2024-01-10,MIL-02,SAL-01,Salame piccante (kg),Sfrido,0.88,15.84
2024-01-10,MIL-02,CAR-01,Carne manzo (kg),Scaduto,1.80,33.30
2024-01-10,MIL-02,OLI-01,Olio EVO (lt),Errore Comanda,1.70,20.40
2024-01-10,MIL-02,PES-01,Pesce branzino (kg),Errore Comanda,1.36,32.64
2024-01-10,MIL-03,MOZZ-01,Mozzarella (kg),Sovraproduzione,1.99,16.91
2024-01-10,MIL-04,TOM-01,Pomodoro San Marzano (kg),Scaduto,1.14,3.65
2024-01-10,MIL-04,PES-01,Pesce branzino (kg),Deteriorato,0.74,17.76
2024-01-10,MIL-05,SAL-01,Salame piccante (kg),Scaduto,0.54,9.72
2024-01-10,MIL-05,FUN-01,Funghi porcini (kg),Sfrido,1.97,55.16
2024-01-10,MIL-05,SAL-01,Salame piccante (kg),Sovraproduzione,0.89,16.02
2024-01-10,MIL-05,FUN-01,Funghi porcini (kg),Errore Comanda,1.43,40.04
2024-01-10,MIL-06,PRO-01,Prosciutto crudo (kg),Errore Comanda,2.03,44.66
2024-01-10,MIL-06,VER-01,Verdure miste (kg),Errore Comanda,0.23,0.81
2024-01-10,MIL-06,SAL-01,Salame piccante (kg),Sfrido,1.23,22.14
2024-01-10,MIL-07,MOZZ-01,Mozzarella (kg),Sovraproduzione,0.36,3.06
2024-01-10,MIL-07,PRO-01,Prosciutto crudo (kg),Sfrido,0.41,9.02
2024-01-10,MIL-07,TOM-01,Pomodoro San Marzano (kg),Errore Comanda,1.01,3.23
2024-01-10,MIL-07,FUN-01,Funghi porcini (kg),Sovraproduzione,0.81,22.68
2024-01-10,MIL-08,PRO-01,Prosciutto crudo (kg),Scaduto,0.91,20.02
2024-01-10,MIL-08,VER-01,Verdure miste (kg),Deteriorato,0.44,1.54
2024-01-10,MIL-08,TOM-01,Pomodoro San Marzano (kg),Sfrido,1.32,4.22
2024-01-10,MIL-08,OLI-01,Olio EVO (lt),Deteriorato,0.96,11.52
2024-01-10,MIL-09,MOZZ-01,Mozzarella (kg),Errore Comanda,0.71,6.04
2024-01-10,MIL-10,FUN-01,Funghi porcini (kg),Errore Comanda,1.53,42.84
2024-01-10,MIL-10,FAR-01,Farina tipo 00 (kg),Sovraproduzione,1.76,1.41
2024-01-11,MIL-01,FAR-01,Farina tipo 00 (kg),Deteriorato,0.19,0.15
2024-01-11,MIL-01,SAL-01,Salame piccante (kg),Scaduto,0.86,15.48
2024-01-11,MIL-01,MOZZ-01,Mozzarella (kg),Sovraproduzione,0.46,3.91
2024-01-11,MIL-02,OLI-01,Olio EVO (lt),Sfrido,1.55,18.60
2024-01-11,MIL-02,VER-01,Verdure miste (kg),Scaduto,1.62,5.67
2024-01-11,MIL-02,OLI-01,Olio EVO (lt),Sfrido,0.90,10.80
2024-01-11,MIL-03,FAR-01,Farina tipo 00 (kg),Sovraproduzione,1.26,1.01
2024-01-11,MIL-03,OLI-01,Olio EVO (lt),Deteriorato,0.53,6.36
2024-01-11,MIL-03,FAR-01,Farina tipo 00 (kg),Deteriorato,1.78,1.42
2024-01-11,MIL-04,CAR-01,Carne manzo (kg),Deteriorato,0.92,17.02
2024-01-11,MIL-04,SAL-01,Salame piccante (kg),Scaduto,1.41,25.38
2024-01-11,MIL-04,OLI-01,Olio EVO (lt),Scaduto,1.48,17.76
2024-01-11,MIL-04,OLI-01,Olio EVO (lt),Sovraproduzione,1.79,21.48
2024-01-11,MIL-05,VER-01,Verdure miste (kg),Errore Comanda,1.29,4.52
2024-01-11,MIL-05,CAR-01,Carne manzo (kg),Scaduto,1.95,36.07
2024-01-11,MIL-06,MOZZ-01,Mozzarella (kg),Sfrido,1.60,13.60
2024-01-11,MIL-07,VER-01,Verdure miste (kg),Sovraproduzione,1.63,5.71
2024-01-11,MIL-08,OLI-01,Olio EVO (lt),Scaduto,0.16,1.92
2024-01-11,MIL-08,MOZZ-01,Mozzarella (kg),Deteriorato,0.50,4.25
2024-01-11,MIL-08,VER-01,Verdure miste (kg),Sfrido,1.69,5.92
2024-01-11,MIL-09,OLI-01,Olio EVO (lt),Sfrido,1.47,17.64
2024-01-11,MIL-10,TOM-01,Pomodoro San Marzano (kg),Sovraproduzione,0.16,0.51
2024-01-12,MIL-01,FUN-01,Funghi porcini (kg),Scaduto,1.06,29.68
2024-01-12,MIL-01,CAR-01,Carne manzo (kg),Sfrido,1.69,31.27
2024-01-12,MIL-01,VER-01,Verdure miste (kg),Sfrido,1.82,6.37
2024-01-12,MIL-02,OLI-01,Olio EVO (lt),Scaduto,1.09,13.08
2024-01-12,MIL-02,FAR-01,Farina tipo 00 (kg),Errore Comanda,1.00,0.80
2024-01-12,MIL-03,MOZZ-01,Mozzarella (kg),Deteriorato,1.12,9.52
2024-01-12,MIL-04,PRO-01,Prosciutto crudo (kg),Deteriorato,1.32,29.04
2024-01-12,MIL-04,MOZZ-01,Mozzarella (kg),Sfrido,2.00,17.00
2024-01-12,MIL-04,MOZZ-01,Mozzarella (kg),Deteriorato,0.17,1.45
2024-01-12,MIL-04,VER-01,Verdure miste (kg),Deteriorato,0.74,2.59
2024-01-12,MIL-05,SAL-01,Salame piccante (kg),Deteriorato,1.05,18.90
2024-01-12,MIL-05,FUN-01,Funghi porcini (kg),Scaduto,1.38,38.64
2024-01-12,MIL-05,OLI-01,Olio EVO (lt),Deteriorato,2.05,24.60
2024-01-12,MIL-05,PES-01,Pesce branzino (kg),Sovraproduzione,1.29,30.96
2024-01-12,MIL-06,FUN-01,Funghi porcini (kg),Scaduto,0.59,16.52
2024-01-12,MIL-07,PES-01,Pesce branzino (kg),Sfrido,0.61,14.64
2024-01-12,MIL-07,FUN-01,Funghi porcini (kg),Deteriorato,1.33,37.24
2024-01-12,MIL-07,SAL-01,Salame piccante (kg),Sovraproduzione,1.53,27.54
2024-01-12,MIL-08,TOM-01,Pomodoro San Marzano (kg),Errore Comanda,0.86,2.75
2024-01-12,MIL-09,PRO-01,Prosciutto crudo (kg),Deteriorato,1.81,39.82
2024-01-12,MIL-09,MOZZ-01,Mozzarella (kg),Errore Comanda,1.09,9.27
2024-01-12,MIL-09,SAL-01,Salame piccante (kg),Scaduto,0.97,17.46
2024-01-12,MIL-09,TOM-01,Pomodoro San Marzano (kg),Errore Comanda,0.97,3.10
2024-01-12,MIL-10,CAR-01,Carne manzo (kg),Sfrido,1.14,21.09
2024-01-12,MIL-10,TOM-01,Pomodoro San Marzano (kg),Sfrido,0.95,3.04
2024-01-13,MIL-01,TOM-01,Pomodoro San Marzano (kg),Sfrido,2.06,6.59
2024-01-13,MIL-01,FAR-01,Farina tipo 00 (kg),Sfrido,0.43,0.34
2024-01-13,MIL-01,FAR-01,Farina tipo 00 (kg),Sfrido,0.83,0.66
